Accession,Description,Experiment 1,Experiment 2,Experiment 3,Mitochondrial?,Signal Peptide?,Type II?,Type III?,Multi TM? 
O60749,Sorting nexin-2,,1.024276224,0.730892962,,,,,
Q9UL25,Ras-related protein Rab-21,0.979943556,1.062549191,0.805066272,,,,,
Q13795,ADP-ribosylation factor-related protein 1,1.5046578,,1.496885077,,,,,
Q12959,Disks large homolog 1,1.035442543,,0.789460345,,,,,
Q68DH5,LMBR1 domain-containing protein 2,1.184523693,,1.083749187,,,,,1
P49841,Glycogen synthase kinase-3 beta,,1.115970276,,,,,,
Q13123,Protein Red,,0.88880481,,,,,,
Q9NPR9,Protein GPR108,,,2.293363388,,1,,,1
P58546,Myotrophin,,1.005893717,0.624017422,,,,,
Q12955,Ankyrin-3,1.036723958,,0.741404725,,,,,
P62851,40S ribosomal protein S25,1.067828427,0.976427402,0.668061305,,,,,
Q86UV5,Ubiquitin carboxyl-terminal hydrolase 48,,1.164846134,,,,,,
P18621,60S ribosomal protein L17,,1.055040955,0.712013824,,,,,
P62857,40S ribosomal protein S28,,0.802298077,0.59187286,,,,,
Q9NVA2,Septin-11,,0.824723904,,,,,,
Q9Y3L5,Ras-related protein Rap-2c,2.747758131,,0.744274156,,,,,
P78406,mRNA export factor,,1.194512103,,,,,,
P52597,Heterogeneous nuclear ribonucleoprotein F,0.960090899,0.958087433,0.596905007,,,,,
Q92882,Osteoclast-stimulating factor 1,,1.125268203,0.791416405,,,,,
P17655,Calpain-2 catalytic subunit,,0.99905143,0.653126505,,,,,
Q969N2,GPI transamidase component PIG-T,1.359116762,1.543129533,1.536172393,,1,,,
Q96NB2,Sideroflexin-2,,,0.79272454,1,,,,1
Q9NQC3,Reticulon-4,1.099579954,,1.050461201,,,,,1
Q5T0D9,Tumor protein p63-regulated gene 1-like protein,1.192945651,,,,,,,
Q92888,Rho guanine nucleotide exchange factor 1,,0.943870905,0.610565282,,,,,
Q9P289,Serine/threonine-protein kinase MST4,,1.219087679,,,,,,
P51809,Vesicle-associated membrane protein 7,1.47582382,,1.260037931,,,,,
Q10570,Cleavage and polyadenylation specificity factor subunit 1,,1.100826824,,,,,,
Q9UM54,Myosin-VI,1.226447442,,1.154682805,,,,,
O15371,Eukaryotic translation initiation factor 3 subunit D,0.921273752,0.97239009,0.671708091,,,,,
Q15029,116 kDa U5 small nuclear ribonucleoprotein component,1.089731556,1.012648846,0.694998469,,,,,
P60033,CD81 antigen,1.162309157,0.914464539,1.148978816,,,,,1
Q15024,Exosome complex component RRP42,,1.246915501,,,,,,
O00541,Pescadillo homolog,0.87118047,0.972144489,0.58236522,,,,,
Q15021,Condensin complex subunit 1,,1.065673327,1.271809941,,,,,
Q15020,Squamous cell carcinoma antigen recognized by T-cells 3,,1.02153924,,,,,,
Q8TAA9,Vang-like protein 1,0.931405726,,0.615469398,,,,,1
P78310,Coxsackievirus and adenovirus receptor,2.355366585,,2.343190665,,1,,,
Q86V81,THO complex subunit 4,0.983780156,1.206425409,1.28088005,,,,,
Q9Y276,Mitochondrial chaperone BCS1,0.786455469,,0.773353283,1,,,,
Q9Y277,Voltage-dependent anion-selective channel protein 3,0.930329481,1.023346239,0.706073414,1,,,,
Q3SXM5,Inactive hydroxysteroid dehydrogenase-like protein 1,0.737277453,0.913098895,0.67858276,1,,,,
P04083,Annexin A1,,1.040497646,0.745919296,,,,,
P04080,Cystatin-B,,0.937058206,0.574867099,,,,,
Q14847,LIM and SH3 domain protein 1,,,0.61436561,,,,,
P22307,Non-specific lipid-transfer protein,,0.965606737,,1,,,,
Q9BXN2,C-type lectin domain family 7 member A,0.857096246,,0.773839775,,,1,,
Q9GZL7,Ribosome biogenesis protein WDR12,,0.992665524,0.630529388,,,,,
Q8TCG2,Phosphatidylinositol 4-kinase type 2-beta,1.341934611,,1.171394821,,,,,
P46459,Vesicle-fusing ATPase,1.055964677,1.0988964,1.104771306,,,,,
P35613,Basigin,0.940240078,0.860784513,0.690869327,,1,,,
Q5VV67,Peroxisome proliferator-activated receptor gamma coactivator-related protein 1,3.955590472,,,,,,,
P78537,Biogenesis of lysosome-related organelles complex 1 subunit 1,,,1.058046782,1,,,,
P78536,"Disintegrin and metalloproteinase domain-containing protein 17, TACE",1.712792565,,,,1,,,
P00403,Cytochrome c oxidase subunit 2,1.108863493,1.264067756,1.103063894,1,,,,1
P17812,CTP synthase 1,,0.953765739,0.70127752,,,,,
Q14318,Peptidyl-prolyl cis-trans isomerase FKBP8,0.885001602,0.919377304,0.705545354,1,,,,
O14735,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,,,0.728756678,,,,,1
Q6P1N0,Coiled-coil and C2 domain-containing protein 1A,0.584553043,,,,,,,
P34741,Syndecan-2,1.114170528,,1.125297892,,1,,,
P08670,Vimentin,0.942471842,0.937985589,0.609607507,,,,,
O95396,Adenylyltransferase and sulfurtransferase MOCS3,,1.378241647,,,,,,
P32969,60S ribosomal protein L9,0.95318486,1.006433134,0.666130424,,,,,
O43813,LanC-like protein 1,,0.880817413,0.599320883,,,,,
Q86U38,Pumilio domain-containing protein C14orf21,,0.891571176,,,,,,
Q5JTV8,Torsin-1A-interacting protein 1,1.035561056,,1.197405302,,,,,
Q99961,Endophilin-A2,,1.119650405,,,,,,
Q92552,"28S ribosomal protein S27, mitochondrial",0.919432505,1.386509077,0.80181469,1,,,,
Q8N3D4,EH domain-binding protein 1-like protein 1,,1.04539278,0.811149832,,,,,
O43747,AP-1 complex subunit gamma-1,0.96384626,1.118506365,0.70084333,,,,,
P42224,Signal transducer and activator of transcription 1-alpha/beta,1.094927553,1.051058403,0.754455638,,,,,
Q8TBQ9,Protein kish-A,,1.036210129,0.740950607,,1,,,
Q92797,Symplekin,,1.070068566,,,,,,
P22234,Multifunctional protein ADE2,1.00501227,0.972672572,0.660457091,,,,,
P04792,Heat shock protein beta-1,,0.994746272,0.586389824,,,,,
Q9BQ52,Zinc phosphodiesterase ELAC protein 2,,0.907742956,0.646431742,,,,,
Q9P287,BRCA2 and CDKN1A-interacting protein,,1.073588617,0.708705462,,,,,
Q9Y3B4,Pre-mRNA branch site protein p14,,,0.653750452,,,,,
Q9Y3B3,Transmembrane emp24 domain-containing protein 7,1.106056633,1.321974157,0.810554148,,1,,,
Q9Y3B8,"Oligoribonuclease, mitochondrial",,1.0325965,,1,,,,
P30837,"Aldehyde dehydrogenase X, mitochondrial",,0.899073011,0.591415369,1,,,,
Q99816,Tumor susceptibility gene 101 protein,,0.918788994,0.745126734,,,,,
Q00688,Peptidyl-prolyl cis-trans isomerase FKBP3,,1.127722568,0.721567536,,,,,
Q8N766,Uncharacterized protein KIAA0090,1.787062784,1.276481321,1.872786741,,1,,,
Q9UIW2,Plexin-A1,0.858333199,,0.701516881,,1,,,
P42356,Phosphatidylinositol 4-kinase alpha,0.936432868,0.991497378,0.825416794,,,,,
Q09666,Neuroblast differentiation-associated protein AHNAK,1.060485564,1.081426758,0.818130201,,,,,
P27348,14-3-3 protein theta,1.158858359,0.873654125,0.644242812,,,,,
Q9H267,Vacuolar protein sorting-associated protein 33B,,0.971670385,,,,,,
Q14444,Caprin-1,1.163228502,1.0335328,0.743076623,,,,,
P19404,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial",0.996791779,1.009403005,0.75257313,1,,,,
Q6P4E1,Protein CASC4,,,1.082140867,,,1,,
P63027,Vesicle-associated membrane protein 2,,,0.72617061,,,,,
P14625,Endoplasmin,0.974290162,0.982633735,0.696671022,,1,,,
Q9H061,Transmembrane protein 126A,0.864370832,1.156892587,0.79592608,1,,,,1
Q68CQ7,Glycosyltransferase 8 domain-containing protein 1,0.355717505,0.73932063,0.354602689,,,1,,
Q68CQ4,Digestive organ expansion factor homolog,,1.015564824,,,,,,
Q6UWE0,E3 ubiquitin-protein ligase LRSAM1,,0.924955192,,,,,,
Q12974,Protein tyrosine phosphatase type IVA 2,,0.917370494,1.130353241,,,,,
Q99497,Protein DJ-1,,0.952651843,0.628845779,1,,,,
P53794,Sodium/myo-inositol cotransporter,0.910181419,,0.606444812,,,,,1
Q6XQN6,Nicotinate phosphoribosyltransferase,,0.918032751,0.577594701,,,,,
Q969Z0,Protein TBRG4,,0.914551331,0.738038399,,,,,
O43583,Density-regulated protein,,0.787625108,,,,,,
Q9UH99,SUN domain-containing protein 2,1.646158987,,1.768978994,,,1,,
P12429,Annexin A3,,0.838768081,0.548057001,,,,,
Q9NUP9,Protein lin-7 homolog C,0.952038183,0.837120115,0.754053828,,,,,
O14976,Cyclin-G-associated kinase,,1.188343358,,,,,,
O14974,Protein phosphatase 1 regulatory subunit 12A,,1.045204247,,,,,,
Q8WUM9,Sodium-dependent phosphate transporter 1,1.099438209,,0.729767041,,,,,1
Q8WUM4,Programmed cell death 6-interacting protein,1.018221215,1.049418893,0.799711395,,,,,
O14979,Heterogeneous nuclear ribonucleoprotein D-like,0.890141624,0.971638895,0.664496622,,,,,
Q8WUM0,Nuclear pore complex protein Nup133,,1.065779032,0.689109076,,,,,
P07947,Tyrosine-protein kinase Yes,1.059596845,1.126936442,1.066140408,,,,,
O43566,Regulator of G-protein signaling 14,1.135598474,,,,,,,
Q9GZP9,Derlin-2,1.15411592,,,,,,,1
P16070,CD44 antigen,1.608612788,1.475484352,1.758118715,,1,,,
Q99569,Plakophilin-4,0.941629338,,,,,,,
P07948,Tyrosine-protein kinase Lyn,0.954224144,0.949383426,0.769434162,,,,,
Q9H9A6,Leucine-rich repeat-containing protein 40,,0.921943645,,,,,,
O75027,"ATP-binding cassette sub-family B member 7, mitochondrial",0.862793709,1.132364679,0.785961201,1,,,,1
Q93050,V-type proton ATPase 116 kDa subunit a isoform 1,1.044194583,1.361842122,1.169378781,,,,,1
P20810,Calpastatin,,1.013023366,0.713885719,,,,,
Q13310,Polyadenylate-binding protein 4,,0.973207034,0.618720254,,,,,
Q9BSR8,Protein YIPF4,,,0.720067849,,,,,1
P22059,Oxysterol-binding protein 1,0.848704867,0.916646861,0.774277046,,,,,
Q9Y5T5,Ubiquitin carboxyl-terminal hydrolase 16,,1.261523951,,,,,,
Q9HCU5,Prolactin regulatory element-binding protein,1.041180072,,,,,,,
Q9UG63,ATP-binding cassette sub-family F member 2,,0.986566226,0.697158284,,,,,
Q14684,Ribosomal RNA processing protein 1 homolog B,,1.029588757,0.676105349,,,,,
Q02880,DNA topoisomerase 2-beta,,0.892312338,,,,,,
Q14683,Structural maintenance of chromosomes protein 1A,0.975675704,1.061809068,0.735467171,,,,,
P04899,Guanine nucleotide-binding protein G(i) subunit alpha-2,0.918115301,0.947168469,0.761825094,,,,,
P06493,Cyclin-dependent kinase 1,,1.267411685,0.669790375,1,,,,
P17252,Protein kinase C alpha type,1.129111265,1.148418266,1.091738397,1,,,,
Q8NB90,Spermatogenesis-associated protein 5,,0.943599209,,1,,,,
P11766,Alcohol dehydrogenase class-3,,1.007494734,0.658398508,,,,,
Q9NX40,OCIA domain-containing protein 1,0.685471674,0.788006854,0.63245846,,,,,
P09923,Intestinal-type alkaline phosphatase,,0.767524647,0.491531632,,1,,,
Q8IUH4,Palmitoyltransferase ZDHHC13,,,1.509173953,,,,,1
Q13405,"39S ribosomal protein L49, mitochondrial",,0.988306155,0.785304858,1,,,,
Q9UPU5,Ubiquitin carboxyl-terminal hydrolase 24,,0.950710355,,,,,,
Q12768,WASH complex subunit strumpellin,,1.01160554,0.786679284,,,,,
Q13409,Cytoplasmic dynein 1 intermediate chain 2,,0.962008378,0.658381809,,,,,
Q8NC42,E3 ubiquitin-protein ligase RNF149,1.129936444,,,,1,,,
P05787,"Keratin, type II cytoskeletal 8",,0.992791694,0.611039289,,,,,
P36404,ADP-ribosylation factor-like protein 2,,1.082793257,,1,,,,
P05783,"Keratin, type I cytoskeletal 18",,1.006512874,0.622600128,,,,,
P63208,S-phase kinase-associated protein 1,,0.834758933,0.595040763,,,,,
P11166,"Solute carrier family 2, facilitated glucose transporter member 1",0.897953384,0.839378631,0.684888499,,,,,1
O60934,Nibrin,,0.899682831,,,,,,
Q9NXF1,Testis-expressed sequence 10 protein,,1.024718046,0.68191068,,,,,1
Q96K37,Solute carrier family 35 member E1,1.059681149,,,,,,,1
P31327,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",,0.88661124,0.554346547,1,,,,
Q9UBQ7,Glyoxylate reductase/hydroxypyruvate reductase,,0.992644608,0.746862273,,,,,
P61513,60S ribosomal protein L37a,,1.021182554,,,,,,
Q9UBQ5,Eukaryotic translation initiation factor 3 subunit K,,0.973823596,0.625045574,,,,,
Q9UBQ0,Vacuolar protein sorting-associated protein 29,,0.926099035,0.712485826,,,,,
Q14566,DNA replication licensing factor MCM6,,0.989999297,0.653004537,,,,,
Q5T9A4,ATPase family AAA domain-containing protein 3B,,,0.7701487,,,,,
Q9NR82,Potassium voltage-gated channel subfamily KQT member 5,0.926287049,,,,,,,1
P62081,40S ribosomal protein S7,0.963910034,1.08625988,0.705592233,,,,,
Q16204,Coiled-coil domain-containing protein 6,,0.942370091,,,,,,
P62241,40S ribosomal protein S8,0.949846475,1.029760809,0.694318258,,,,,
Q9NY93,Probable ATP-dependent RNA helicase DDX56,,0.966106077,,,,,,
P62244,40S ribosomal protein S15a,0.893001559,0.912955162,0.661132847,,,,,
Q32P28,Prolyl 3-hydroxylase 1,,0.898655071,0.595524507,,1,,,
P50454,Serpin H1,,1.000004583,0.575241232,,1,,,
P62249,40S ribosomal protein S16,0.882657882,0.857073197,0.599870403,,,,,
Q96A33,Coiled-coil domain-containing protein 47,0.929033252,1.025458412,1.106160748,,1,,,
Q9H5K3,Protein kinase-like protein SgK196,,,2.424167117,,,,,
P12236,ADP/ATP translocase 3,0.886531755,1.006756446,0.728776198,1,,,,1
P12235,ADP/ATP translocase 1,0.806921073,0.945850842,0.70762664,1,,,,1
Q96J01,THO complex subunit 3,,,0.698680412,,,,,
Q96J02,E3 ubiquitin-protein ligase Itchy homolog,1.245331756,,,,,,,
Q8NF37,Lysophosphatidylcholine acyltransferase 1,0.998992584,,1.059420507,,,1,,
Q9UP95,Solute carrier family 12 member 4,1.42628892,,1.261400639,,,,,1
Q92900,Regulator of nonsense transcripts 1,,0.934737888,0.625416794,,,,,
P61201,COP9 signalosome complex subunit 2,,1.039471619,0.683457743,,,,,
Q13895,Bystin,,0.985790405,0.704968318,,,,,
Q6YN16,Hydroxysteroid dehydrogenase-like protein 2,,1.049762005,0.721083248,,,,,
P33908,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",2.136640689,2.426794147,2.29630956,,,1,,
Q92905,COP9 signalosome complex subunit 5,,1.043555671,,,,,,
Q9Y2A7,Nck-associated protein 1,,1.030053379,,,,,,
Q9ULC3,Ras-related protein Rab-23,,,0.757842581,,,,,
Q9ULC4,Malignant T cell-amplified sequence 1,,1.027593981,0.598064281,,,,,
Q9BYI3,Hyccin,0.895677074,,1.117788023,,,,,
P51149,Ras-related protein Rab-7a,1.113389518,1.053168354,1.184326744,,,,,
P51148,Ras-related protein Rab-5C,1.129208046,1.037046566,1.048235517,,,,,
P09110,"3-ketoacyl-CoA thiolase, peroxisomal",,1.113984334,,,,,,
O95573,Long-chain-fatty-acid--CoA ligase 3,1.05041868,,1.114923434,1,,,1,
Q15293,Reticulocalbin-1,1.16480005,0.851747878,0.614430884,,1,,,
P10415,Apoptosis regulator Bcl-2,1.491718532,,,1,,,,
P55263,Adenosine kinase,,0.971585392,0.60544407,,,,,
Q9P2E5,Chondroitin sulfate glucuronyltransferase,,,2.315670733,,,1,,
P55265,Double-stranded RNA-specific adenosine deaminase,1.887612767,1.010143014,0.700292243,,,,,
O00154,Cytosolic acyl coenzyme A thioester hydrolase,,1.0530881,0.787410767,1,,,,
Q9P2E9,Ribosome-binding protein 1,,0.990323108,,,,,1,
Q15306,Interferon regulatory factor 4,1.19791559,,,,,,,
Q8NBU5,ATPase family AAA domain-containing protein 1,0.646229216,,0.540051201,,,,,
Q96CG8,Collagen triple helix repeat-containing protein 1,1.137844635,,0.750023658,,1,,,
P11940,Polyadenylate-binding protein 1,,1.072741488,0.663285925,,,,,
Q9P0I2,Transmembrane protein 111,0.762332658,,0.759818154,,,,,1
P35998,26S protease regulatory subunit 7,,0.983703793,0.676603739,,,,,
P55795,Heterogeneous nuclear ribonucleoprotein H2,,1.237929444,,,,,,
Q9BV57,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",,0.810688484,,,,,,
O00151,PDZ and LIM domain protein 1,,0.98811778,0.714921094,,,,,
O14561,"Acyl carrier protein, mitochondrial",,0.859541486,0.824531331,1,,,,
Q86UE4,Protein LYRIC,0.863821823,,0.779675035,,,,,
Q08722,Leukocyte surface antigen CD47,1.152095747,,1.211205764,,1,,,1
Q9NXH9,"N(2),N(2)-dimethylguanosine tRNA methyltransferase",,1.014640204,,,,,,
P38117,Electron transfer flavoprotein subunit beta,,0.986432439,0.605594367,1,,,,
P13612,Integrin alpha-4,1.675059359,,1.565897074,,1,,,
Q6PJT7,Zinc finger CCCH domain-containing protein 14,,0.979985343,,,,,,
Q9P273,Teneurin-3,1.832724688,,1.552436264,,,1,,
Q7LBR1,Charged multivesicular body protein 1b,,,0.517061491,,,,,
P62861,40S ribosomal protein S30,,,0.72351542,,,,,
Q9NSD9,Phenylalanyl-tRNA synthetase beta chain,0.925440705,0.93142411,0.669598375,,,,,
Q92890,Ubiquitin fusion degradation protein 1 homolog,,1.027914999,0.715572379,,,,,
Q92896,Golgi apparatus protein 1,0.633160921,0.923816245,0.670871941,,1,,,
Q969M3,Protein YIPF5,0.997677155,,,,,,,1
O00559,Receptor-binding cancer antigen expressed on SiSo cells,0.996141697,,,,,,1,
P02786,Transferrin receptor protein 1,1.426340766,1.242336142,1.217821957,,,1,,
O60443,Non-syndromic hearing impairment protein 5,,0.947491266,,,,,,
Q16836,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",,1.013638649,0.593192947,1,,,,
Q10567,AP-1 complex subunit beta-1,0.872643587,0.975907149,0.79707757,,,,,
O60449,Lymphocyte antigen 75,1.75047209,2.037752497,1.952610721,,1,,,
Q7L0Y3,Mitochondrial ribonuclease P protein 1,,0.900257148,,1,,,,
O15381,Nuclear valosin-containing protein-like,,1.214452902,,,,,,
Q9BTV4,Transmembrane protein 43,1.335397342,1.5443115,1.330767059,,,,,1
P45974,Ubiquitin carboxyl-terminal hydrolase 5,,1.045410438,0.713295666,,,,,
P07237,Protein disulfide-isomerase,1.014006968,0.948249223,0.737114865,,1,,,
O15144,Actin-related protein 2/3 complex subunit 2,0.902818342,0.986666395,0.732182916,,,,,
O15145,Actin-related protein 2/3 complex subunit 3,,1.255106025,0.771677475,,,,,
P45973,Chromobox protein homolog 5,,1.049940249,0.713713157,,,,,
Q9Y266,Nuclear migration protein nudC,1.072129304,1.048787693,0.686850183,,,,,
Q9Y265,RuvB-like 1,0.989681986,1.034085877,0.725352253,,,,,
Q9Y263,Phospholipase A-2-activating protein,1.379002486,1.049728651,1.166024454,,,,,
Q9Y262,Eukaryotic translation initiation factor 3 subunit L,0.995124301,0.999576311,0.677886944,,,,,
Q08211,ATP-dependent RNA helicase A,1.010373262,1.048000768,0.725269281,,,,,
Q9Y512,Sorting and assembly machinery component 50 homolog,0.849964847,0.935255195,0.719062094,1,,,,1
Q01518,Adenylyl cyclase-associated protein 1,1.105816668,0.911537336,0.664531228,,,,,
O75521,"Enoyl-CoA delta isomerase 2, mitochondrial",,0.942302143,0.553426784,1,,,,
P07099,Epoxide hydrolase 1,0.896635405,,,,,1,,
Q9Y6M9,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9,1.11786721,,0.814378148,1,,,,
P08240,Signal recognition particle receptor subunit alpha,1.15666551,1.009945346,1.097868887,,,,,
Q9UKY7,Protein CDV3 homolog,,1.101644453,0.625622756,,,,,
Q9Y6M0,Testisin,1.107154776,1.544139748,1.466621205,,1,,,
P08243,Asparagine synthetase [glutamine-hydrolyzing],,0.988777365,0.625522558,,,,,
P09669,Cytochrome c oxidase subunit 6C,0.960101415,1.084412315,0.774303832,1,,,,
Q9Y6M7,Sodium bicarbonate cotransporter 3,0.930396268,0.987127976,0.808541141,,,,,1
Q9Y6M5,Zinc transporter 1,1.078233342,1.098817526,0.813921364,,,,,1
A6NHL2,Tubulin alpha chain-like 3,,1.019180726,1.078792712,,,,,
Q9NRR3,CDC42 small effector protein 2,,,1.073271641,,,,,
Q9NRR5,Ubiquilin-4,,0.768266029,,,,,,
Q92769,Histone deacetylase 2,,0.953216073,0.641165512,,,,,
Q96DM3,Uncharacterized protein C18orf8,1.029497692,,1.143334243,,,,,
O43826,Glucose-6-phosphate translocase,,,1.046336839,,,,,1
Q86U42,Polyadenylate-binding protein 2,,0.914249299,0.62389713,,,,,
Q92945,Far upstream element-binding protein 2,0.970558584,1.018544656,0.655030646,,,,,
P32970,CD70 antigen,2.357923025,1.780266513,1.908970279,,,1,,
Q92542,Nicastrin,1.509308867,1.580697748,1.561581154,,1,,,
Q99798,"Aconitate hydratase, mitochondrial",,0.893497952,0.819429299,1,,,,
Q13148,TAR DNA-binding protein 43,1.110458529,1.072696902,0.616673345,,,,,
Q92544,Transmembrane 9 superfamily member 4,1.183292066,1.54735866,1.174509704,,1,,,1
Q13144,Translation initiation factor eIF-2B subunit epsilon,,0.921854473,,,,,,
O43772,Mitochondrial carnitine/acylcarnitine carrier protein,0.947432297,1.065001406,0.68943612,1,,,,1
O43776,"Asparaginyl-tRNA synthetase, cytoplasmic",0.771730307,1.014030771,0.646995546,,,,,
O75787,Renin receptor,1.909716661,,2.008267027,,1,,,
P30825,High affinity cationic amino acid transporter 1,0.677152995,,0.485883826,,,,,1
P10155,60 kDa SS-A/Ro ribonucleoprotein,,0.952669189,0.671619026,,,,,
P52788,Spermine synthase,,1.002287123,0.802170594,,,,,
